"Symbole accepté","Synonyme icône","Nom scientifique","Durée de l'accord","Période de croissance active","Couleur du feuillage","pH (minimum)","pH (maximum)","Précipitations (minimum)","Précipitations (maximum)","Tolérance à l'ombre","Température minimum (°F)"
"ARDO4","","Arundo donax","Vivace","Printemps, été, automne","Vert","4.8","7.0","35","65","Intermédiaire","7"
"ASARU","","Asarum","","","","","","","","",""
"ASCA","","Asarum canadense","Vivace","","","","","","","",""
"ASCLE","","Asclepias","","","","","","","","",""
"ASAM","","Asclepias amplexicaulis","Vivace","","","","","","","",""
"ASEX","","Asclepias exaltata","Vivace","","","","","","","",""
"ASIN","","Asclepias incarnata","Vivace","Printemps","Vert","5.0","8.0","15","65","Intolérant","-38"
"ASINI","","Asclepias incarnata ssp. incarnata","Vivace","","","","","","","",""
"ASINP2","","Asclepias incarnata ssp. pulchra","Vivace","","","","","","","",""
"ASLA2","","Asclepias lanceolata","Vivace","","","","","","","",""
"ASLI","","Asclepias linearis","Vivace","","","","","","","",""
"ASLO","","Asclepias longifolia","Vivace","","","","","","","",""
"ASPU2","","Asclepias purpurascens","Vivace","","","","","","","",""
"ASQU","","Asclepias quadrifolia","Vivace","","","","","","","",""
"ASRU","","Asclepias rubra","Vivace","","","","","","","",""
"ASSY","","Asclepias syriaca","Vivace","","","","","","","",""
"ASTU","","Asclepias tuberosa","Vivace","Printemps et été","Vert","4.8","6.8","28","45","Intolérant","-33"
"ASTUT2","","Asclepias tuberosa ssp. tuberosa","Vivace","","","","","","","",""
"ASVA","","Asclepias variegata","Vivace","","","","","","","",""
"ASVE","","Asclepias verticillata","Vivace","","","","","","","",""
"ASVI","","Asclepias viridiflora","Vivace","","","","","","","",""
"ASIMI","","Asimina","","","","","","","","",""
"ASTR","","Asimina triloba","Vivace","Printemps et été","Vert foncé","4.7","7.2","36","80","Tolérant","-27"
"ASPAR","","Asparagus","","","","","","","","",""
"ASOF","","Asparagus officinalis","Vivace","","","","","","","",""
"ASPER","","Asperugo","","","","","","","","",""
"ASPR","","Asperugo procumbens","Annuelle","","","","","","","",""
"ASPER2","","Asperula","","","","","","","","",""
"ASAR2","","Asperula arvensis","Annuelle","","","","","","","",""
"ASPIC2","","Aspicilia","","","","","","","","",""
"ASPLE","","Asplenium","","","","","","","","",""
"ASBR2","","Asplenium bradleyi","Vivace","","","","","","","",""
"ASEB","","Asplenium ×ebenoides","Vivace","","","","","","","",""
"ASGR5","","Asplenium ×gravesii","Vivace","","","","","","","",""
"ASMO2","","Asplenium montanum","Vivace","","","","","","","",""
"ASMO16","","Asplenium ×morganii","Vivace","","","","","","","",""
"ASPI","","Asplenium pinnatifidum","Vivace","","","","","","","",""
"ASPL","","Asplenium platyneuron","Vivace","","","","","","","",""
"ASPLP","","Asplenium platyneuron var. platyneuron","Vivace","","","","","","","",""
"ASRE","","Asplenium resiliens","Vivace","","","","","","","",""
"ASRH2","","Asplenium rhizophyllum","Vivace","","","","","","","",""
"ASRU2","","Asplenium ruta-muraria","Vivace","","","","","","","",""
"ASRUC","","Asplenium ruta-muraria var. cryptolepis","Vivace","","","","","","","",""
"ASRUL","","Asplenium ruta-muraria var. lanceolum","Vivace","","","","","","","",""
"ASSC11","","Asplenium scolopendrium","Vivace","","","","","","","",""
"ASSCA","","Asplenium scolopendrium var. americanum","Vivace","","","","","","","",""
"ASTR2","","Asplenium trichomanes","Vivace","","","","","","","",""
"ASTRQ","","Asplenium trichomanes ssp. quadrivalens","Vivace","","","","","","","",""
"ASTRT","","Asplenium trichomanes ssp. trichomanes","Vivace","","","","","","","",""
"ASTR11","","Asplenium ×trudellii","Vivace","","","","","","","",""
"ASVI7","","Asplenium ×virginicum","Vivace","","","","","","","",""
"ASTIL","","Astilbe","","","","","","","","",""
"ASBI4","","Astilbe biternata","Vivace","","","","","","","",""
"ASTRA","","Astragalus","","","","","","","","",""
"ASCA11","","Astragalus canadensis","Vivace","Printemps, été, automne","Vert","6.0","8.0","20","50","Intolérant","-38"
"ASCAC6","","Astragalus canadensis var. canadensis","Vivace","","","","","","","",""
"ASDI4","","Astragalus distortus","Vivace","","","","","","","",""
"ASDID3","","Astragalus distortus var. distortus","Vivace","","","","","","","",""
"ASHA13","","Astragalus hamosus","Annuelle","","","","","","","",""
"ATHYR","","Athyrium","","","","","","","","",""
"ATFI","","Athyrium filix-femina","Vivace","Printemps, été, automne","Vert","4.5","7.0","30","60","Tolérant","-38"
"ATFIA","","Athyrium filix-femina ssp. angustum","Vivace","","","","","","","",""
"ATFIA2","","Athyrium filix-femina ssp. asplenioides","Vivace","","","","","","","",""
"ATRIP","","Atriplex","","","","","","","","",""
"ATCR2","","Atriplex cristata","Annuelle, Vivace","","","","","","","",""
"ATEL","","Atriplex elegans","Annuelle, Vivace","","","","","","","",""
"ATELT","","Atriplex elegans var. thornberi","Annuelle, Vivace","","","","","","","",""
"ATJO3","","Atriplex joaquiniana","Annuelle","","","","","","","",""
"ATLI3","","Atriplex littoralis","Annuelle, Vivace","","","","","","","",""
"ATPA4","","Atriplex patula","Annuelle","","","","","","","",""
"ATPR","","Atriplex prostrata","Annuelle","","","","","","","",""
"ATRO","","Atriplex rosea","Annuelle","","","","","","","",""
"AUREO","","Aureolaria","","","","","","","","",""
"AUFL","","Aureolaria flava","Vivace","","","","","","","",""
"AUFLF","","Aureolaria flava var. flava","Vivace","","","","","","","",""
"AUFLM","","Aureolaria flava var. macrantha","Vivace","","","","","","","",""
"AULA","","Aureolaria laevigata","Vivace","","","","","","","",""
"AUPE2","","Aureolaria pedicularia","Annuelle","","","","","","","",""
"AUPEI","","Aureolaria pedicularia var. intercedens","Annuelle","","","","","","","",""
"AUPEP","","Aureolaria pedicularia var. pedicularia","Annuelle","","","","","","","",""
"AUVI","","Aureolaria virginica","Vivace","","","","","","","",""
"AVENA","","Avena","","","","","","","","",""
"AVFA","","Avena fatua","Annuelle","Automne, Winter and Printemps","Vert","6.0","7.5","6","24","Intolérant","-23"
"AVSA","","Avena sativa","Annuelle","Printemps et été","Vert","5.3","8.5","25","100","Intolérant","-23"
"AXONO","","Axonopus","","","","","","","","",""
"AXFU","","Axonopus furcatus","Vivace","","","","","","","",""
"AZOLL","","Azolla","","","","","","","","",""
"AZCA","","Azolla caroliniana","Annuelle","","","","","","","",""
"BACCH","","Baccharis","","","","","","","","",""
"BAHA","","Baccharis halimifolia","Vivace","Printemps, été, automne","Vert foncé","5.5","7.8","36","60","Intermédiaire","-3"
"BACID","","Bacidia","","","","","","","","",""
"BACOP","","Bacopa","","","","","","","","",""
"BACA","","Bacopa caroliniana","Vivace","","","","","","","",""
"BAIN2","","Bacopa innominata","Vivace","","","","","","","",""
"BAMO","","Bacopa monnieri","Vivace","","","","","","","",""
"BARO","","Bacopa rotundifolia","Vivace","Printemps, été, automne","Vert","5.4","7.8","24","65","Intolérant","-33"
"BAHIA","","Bahia","","","","","","","","",""
"BASC4","","Bahia schaffneri","Annuelle","","","","","","","",""
"BALLO","","Ballota","","","","","","","","",""
"BANI","","Ballota nigra","Vivace","","","","","","","",""
"BANIN","","Ballota nigra var. nigra","Vivace","","","","","","","",""
"BAPTI","","Baptisia","","","","","","","","",""
"BAAU","","Baptisia australis","Vivace","","","","","","","",""
"BAAUA","","Baptisia australis var. australis","Vivace","","","","","","","",""
"BATI","","Baptisia tinctoria","Vivace","Été","Gris-vert","5.8","7.0","35","60","Intolérant","2"
"BARBA","","Barbarea","","","","","","","","",""
"BAVE","","Barbarea verna","Biennale, Vivace","","","","","","","",""
"BAVU","","Barbarea vulgaris","Biennale","","","","","","","",""
"BARTO","","Bartonia","","","","","","","","",""
"BAPA2","","Bartonia paniculata","Annuelle, Biennale","","","","","","","",""
"BAPAP","","Bartonia paniculata ssp. paniculata","Annuelle, Biennale","","","","","","","",""
"BAVI3","","Bartonia virginica","Annuelle","","","","","","","",""
"BASSI","","Bassia","","","","","","","","",""
"BAHI3","","Bassia hirsuta","Annuelle","","","","","","","",""
"BELAM","","Belamcanda","","","","","","","","",""
"BECH","","Belamcanda chinensis","Vivace","","","","","","","",""
"BELLI","","Bellis","","","","","","","","",""
"BEPE2","","Bellis perennis","Vivace","","","","","","","",""
"BERBE","","Berberis","","","","","","","","",""
"BECA2","","Berberis canadensis","Vivace","","","","","","","",""
"BETH","","Berberis thunbergii","Vivace","Printemps et été","Vert foncé","5.5","7.2","30","60","Intolérant","-28"
"BEVU","","Berberis vulgaris","Vivace","","","","","","","",""
"BERCH","","Berchemia","","","","","","","","",""
"BESC","","Berchemia scandens","Vivace","","","","","","","",""
"BERTE","","Berteroa","","","","","","","","",""
"BEIN2","","Berteroa incana","Annuelle, Biennale, Vivace","","","","","","","",""
"BETUL","","Betula","","","","","","","","",""
"BEAL2","","Betula alleghaniensis","Vivace","Printemps et été","Vert","4.0","8.0","25","80","Intermédiaire","-47"
"BEALA","","Betula alleghaniensis var. alleghaniensis","Vivace","","","","","","","",""
"BEALM","","Betula alleghaniensis var. macrolepis","Vivace","","","","","","","",""
"BELE","","Betula lenta","Vivace","Printemps et été","Vert","3.6","6.8","29","80","Intolérant","-26"
"BENI","","Betula nigra","Vivace","Printemps et été","Vert","3.0","6.5","30","80","Intolérant","-31"
"BEPA","","Betula papyrifera","Vivace","Printemps et été","Vert","4.2","7.4","12","60","Intolérant","-62"
"BEPAP","","Betula papyrifera var. papyrifera","Vivace","","","","","","","",""
"BEPO","","Betula populifolia","Vivace","Printemps et été","Vert","3.5","6.5","36","65","Intermédiaire","-35"
"BEPU5","","Betula pubescens","Vivace","","","","","","","",""
"BEPUP5","","Betula pubescens ssp. pubescens","Vivace","","","","","","","",""
"BIDEN","","Bidens","","","","","","","","",""
"BIAR","","Bidens aristosa","Annuelle, Biennale","Printemps, été, automne","Vert","5.0","7.0","22","55","Intermédiaire","52"
"BIBE2","","Bidens beckii","Vivace","","","","","","","",""
"BIBI3","","Bidens bidentoides","Annuelle","","","","","","","",""
"BIBI7","","Bidens bipinnata","Annuelle","","","","","","","",""
"BICE","","Bidens cernua","Annuelle","Printemps, été, automne","Vert","5.1","7.0","32","55","Intermédiaire","47"
"BICO5","","Bidens connata","Annuelle","Printemps, été, automne","Vert","5.2","7.1","32","55","Intermédiaire","47"
"BICO","","Bidens coronata","Annuelle","Printemps, été, automne","Vert","5.2","7.1","32","55","Intermédiaire","52"
"BIDI","","Bidens discoidea","Annuelle","Printemps, été, automne","Vert","5.1","7.1","32","55","Intermédiaire","52"
"BIFR","","Bidens frondosa","Annuelle","Printemps, été, automne","Vert","5.2","7.2","24","60","Intermédiaire","47"
"BILA","","Bidens laevis","Annuelle, Vivace","Printemps, été, automne","Vert","5.0","7.0","24","55","Intermédiaire","52"
"BIMI","","Bidens mitis","Annuelle","Printemps, été, automne","Vert","5.0","8.6","32","55","Intermédiaire","52"
"BIPI","","Bidens pilosa","Annuelle","","","","","","","",""
"BITE","","Bidens tenuisecta","Annuelle","","","","","","","",""
"BITR","","Bidens tripartita","Annuelle","Printemps, été, automne","Vert","5.0","7.2","32","55","Intermédiaire","47"
"BIVU","","Bidens vulgata","Annuelle","","","","","","","",""
"BIFOR","","Bifora","","","","","","","","",""
"BITE3","","Bifora testiculata","Annuelle","","","","","","","",""
"BIGNO","","Bignonia","","","","","","","","",""
"BICA","","Bignonia capreolata","Vivace","","","","","","","",""
"BLEPH5","","Blephilia","","","","","","","","",""
"BLCI","","Blephilia ciliata","Vivace","","","","","","","",""
"BLHI","","Blephilia hirsuta","Vivace","","","","","","","",""
"BLHIH","","Blephilia hirsuta var. hirsuta","Vivace","","","","","","","",""
"BOEHM","","Boehmeria","","","","","","","","",""
"BOCY","","Boehmeria cylindrica","Vivace","Printemps","Vert","5.1","7.0","35","50","Tolérant","-33"
"BONI2","","Boehmeria nivea","Vivace","","","","","","","",""
"BOERH2","","Boerhavia","","","","","","","","",""
"BOCO","","Boerhavia coccinea","Vivace","","","","","","","",""
"BOER","","Boerhavia erecta","Annuelle, Vivace","","","","","","","",""
"BOLTO","","Boltonia","","","","","","","","",""
"BOAS","","Boltonia asteroides","Vivace","Été","Vert","5.3","7.0","22","55","Intermédiaire","-38"
"BOASA","","Boltonia asteroides var. asteroides","Vivace","","","","","","","",""
"BORAG","","Borago","","","","","","","","",""
"BOOF","","Borago officinalis","Annuelle","","","","","","","",""
"BORRI","","Borrichia","","","","","","","","",""
"BOFR","","Borrichia frutescens","Vivace","Printemps","Vert","6.1","7.5","28","60","Intolérant","17"
"BOTHR","","Bothriochloa","","","","","","","","",""
"BOPE2","","Bothriochloa pertusa","Vivace","Printemps et été","Vert","5.0","7.5","20","80","Intolérant","17"
"BOTRY","","Botrychium","","","","","","","","",""
"BOBI","","Botrychium biternatum","Vivace","","","","","","","",""
"BODI2","","Botrychium dissectum","Vivace","","","","","","","",""
"BOJE","","Botrychium jenmanii","Vivace","","","","","","","",""
"BOLA","","Botrychium lanceolatum","Vivace","Printemps","Vert","4.4","6.0","32","60","Tolérant","-33"
"BOLAA2","","Botrychium lanceolatum var. angustisegmentum","Vivace","","","","","","","",""
"BOMA2","","Botrychium matricariifolium","Vivace","","","","","","","",""
"BOMU","","Botrychium multifidum","Vivace","","","","","","","",""
"BOON","","Botrychium oneidense","Vivace","","","","","","","",""
"BOSI","","Botrychium simplex","Vivace","","","","","","","",""
"BOVI","","Botrychium virginianum","Vivace","Printemps et été","Vert","5.6","6.9","14","55","Tolérant","-38"
"BOUTE","","Bouteloua","","","","","","","","",""
"BOAR","","Bouteloua aristidoides","Annuelle","","","","","","","",""
"BOARA","","Bouteloua aristidoides var. aristidoides","Annuelle","","","","","","","",""
"BOBA2","","Bouteloua barbata","Annuelle","","","","","","","",""
"BOCU","","Bouteloua curtipendula","Vivace","Été","Vert","5.5","8.5","6","25","Intolérant","-43"
"BOCUC2","","Bouteloua curtipendula var. curtipendula","Vivace","","","","","","","",""
"BOHI2","","Bouteloua hirsuta","Vivace","Été","Vert","6.0","7.2","7","30","Intolérant","-38"
"BOHIH","","Bouteloua hirsuta var. hirsuta","Vivace","","","","","","","",""
"BRACH","","Brachiaria","","","","","","","","",""
"BRER","","Brachiaria eruciformis","Annuelle","","","","","","","",""
"BRACH2","","Brachyelytrum","","","","","","","","",""
"BRER2","","Brachyelytrum erectum","Vivace","","","","","","","",""
"BRASE","","Brasenia","","","","","","","","",""
"BRSC","","Brasenia schreberi","Vivace","","","","","","","",""
"BRASS2","","Brassica","","","","","","","","",""
"BRJU","","Brassica juncea","Annuelle, Vivace","Automne, Winter and Printemps","Vert foncé","6.0","7.2","30","80","Intolérant","17"
"BRNA","","Brassica napus","Annuelle, Biennale","Automne, Winter and Printemps","Vert foncé","6.0","7.2","40","80","Intolérant","17"
"BRNI","","Brassica nigra","Annuelle","","","","","","","",""
"BROL","","Brassica oleracea","Vivace","","","","","","","",""
"BRRA","","Brassica rapa","Annuelle, Biennale","Printemps, été, automne","Vert","5.0","8.0","35","55","Intermédiaire","-13"
"BRRAR","","Brassica rapa var. rapa","Annuelle, Biennale","","","","","","","",""
"BRICK","","Brickellia","","","","","","","","",""
"BREU","","Brickellia eupatorioides","Vivace","","","","","","","",""
"BREUE","","Brickellia eupatorioides var. eupatorioides","Vivace","","","","","","","",""
"BRIZA","","Briza","","","","","","","","",""
"BRME","","Briza media","Vivace","","","","","","","",""
"BRMI2","","Briza minor","Annuelle","","","","","","","",""
"BROMU","","Bromus","","","","","","","","",""
"BRAR5","","Bromus arvensis","Annuelle","Automne, Winter and Printemps","Vert","5.2","7.5","26","55","Intolérant","-23"
"BRBR5","","Bromus briziformis","Annuelle","Printemps et été","Vert","5.3","7.2","12","45","Intolérant","47"
"BRCA6","","Bromus catharticus","Annuelle, Vivace","Automne, Winter and Printemps","Vert","5.5","8.0","18","28","Intolérant","7"
"BRCI2","","Bromus ciliatus","Vivace","Printemps et été","Vert","5.5","7.5","12","40","Tolérant","-3"
